Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/15;nov/15;out/15;set/15;ago/15;jul/15;jun/15;mai/15;abr/15;mar/15;fev/15;jan/15;Competência;Data de atualização
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668);Médico Hospitalar;Pequeno;;;;;;;;;;;100,00;100,00;100,00;100,00;201512;22/01/2016 16:40:35
ADVANCE PLANOS DE SAÚDE LTDA (335657);Médico Hospitalar;Pequeno;97;113;80,00;66,67;42,86;0,00;0,00;;100,00;100,00;66,67;33,33;0,00;25,00;201512;22/01/2016 16:40:35
AGEMED SAÚDE S.A. (339601);Médico Hospitalar;Grande;69;76;92,31;84,21;85,19;76,67;78,26;66,67;100,00;63,64;68,75;73,68;85,71;88,89;201512;22/01/2016 16:40:35
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;;;;;;;;201512;22/01/2016 16:40:35
ALLIANZ SAÚDE S/A (000515);Médico Hospitalar;Médio;1;1;100,00;100,00;95,00;96,77;96,67;100,00;100,00;100,00;93,94;82,35;77,14;75,61;201512;22/01/2016 16:40:35
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;100,00;80,00;50,00;0,00;66,67;100,00;100,00;201512;22/01/2016 16:40:35
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894);Médico Hospitalar;Pequeno;;;;;;;;;;0,00;0,00;0,00;;;201512;22/01/2016 16:40:35
AME PLANOS DE SAÚDE LTDA (401196);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;;;;201512;22/01/2016 16:40:35
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531);Médico Hospitalar;Pequeno;;;;;;;;;;0,00;0,00;50,00;100,00;100,00;201512;22/01/2016 16:40:35
AMENO ASSISTÊNCIA MÉDICA LTDA. (409464);Médico Hospitalar;Pequeno;;126;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;201512;22/01/2016 16:40:35
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;201512;22/01/2016 16:40:35
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734);Médico Hospitalar;Médio;1;1;100,00;100,00;94,44;88,89;88,89;92,86;100,00;95,24;90,91;87,50;90,91;100,00;201512;22/01/2016 16:40:35
AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338);Médico Hospitalar;Pequeno;100;101;77,78;87,50;83,33;100,00;100,00;85,71;85,71;75,00;90,00;77,78;80,00;75,00;201512;22/01/2016 16:40:35
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081);Médico Hospitalar;Médio;178;167;85,71;83,33;75,00;100,00;100,00;100,00;100,00;100,00;100,00;75,00;71,43;57,14;201512;22/01/2016 16:40:35
AMHA SAUDE S/A (418587);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201512;22/01/2016 16:40:35
AMHPLA COOPERATIVA DE ASSISTENCIA MEDICA (333221);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;0,00;201512;22/01/2016 16:40:35
AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;;;100,00;201512;22/01/2016 16:40:35
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305);Médico Hospitalar;Grande;66;64;93,76;90,43;87,91;88,06;87,98;86,86;86,51;85,82;85,66;84,86;84,62;84,29;201512;22/01/2016 16:40:35
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;50,00;201512;22/01/2016 16:40:35
A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;;;201512;22/01/2016 16:40:35
ARAÇA PLANOS DE SAÚDE LTDA. (407704);Médico Hospitalar;Pequeno;;;;;0,00;0,00;0,00;;;;;;;;201512;22/01/2016 16:40:35
ARCELORMITTAL BRASIL S/A (416070);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;75,00;66,67;50,00;;0,00;0,00;0,00;201512;22/01/2016 16:40:35
ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A (323811);Médico Hospitalar;Médio;170;144;89,29;90,70;88,71;90,59;90,51;92,27;93,49;88,06;83,50;81,82;86,75;86,36;201512;22/01/2016 16:40:35
ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA. (415847);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;100,00;100,00;100,00;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;50,00;60,00;66,67;100,00;100,00;50,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;87,50;83,33;83,33;100,00;100,00;100,00;83,33;83,33;201512;22/01/2016 16:40:35
ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146);Médico Hospitalar;Médio;184;173;83,33;82,35;85,00;90,00;88,89;76,92;77,78;72,73;50,00;55,56;56,25;65,63;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BENEFICENTE DE CAMPO GRANDE (306428);Médico Hospitalar;Pequeno;110;126;0,00;0,00;0,00;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540);Médico Hospitalar;Grande;81;81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,33;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BENEFICENTE FNV (415049);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO BRASILEIRA DOS EMPREGADOS EM TELECOMUNICAÇÕES (338915);Médico Hospitalar;Médio;1;147;100,00;88,89;90,91;81,82;85,71;75,00;100,00;75,00;80,00;66,67;75,00;50,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO CASA DO VIAJANTE (412457);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947);Médico Hospitalar;Médio;1;190;100,00;71,43;60,00;75,00;100,00;85,71;80,00;80,00;100,00;100,00;100,00;80,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568);Médico Hospitalar;Médio;204;197;0,00;66,67;75,00;100,00;100,00;100,00;100,00;100,00;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218);Médico Hospitalar;Grande;49;24;97,30;97,37;91,67;91,43;81,58;84,38;86,67;96,30;93,10;93,94;93,33;96,77;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE SAUDE DOS POLICIAIS E BOMBEIROS MILITARES DO ESPIRITO SANTO (357910);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;;;;;201512;22/01/2016 16:40:35
ASSOCIACAO DE SAUDE HOLAMBRA (360783);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;95,00;95,24;92,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (336441);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021);Médico Hospitalar;Grande;1;65;100,00;90,00;88,89;81,82;90,91;92,86;100,00;81,82;75,00;62,50;75,00;80,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599);Médico Hospitalar;Médio;;;;;100,00;100,00;100,00;;;100,00;100,00;50,00;0,00;0,00;201512;22/01/2016 16:40:35
